Name,Phone,Email,Company
Sarah,"9876543210
-",sarah@innovatetech.com,InnovateTech
Alex,"555-123-4567
-",alex@connectworld.org,ConnectWorld
Mark,"789-555-1234
-",mark@artisticdesigns.com,Artistic Designs
Rachel,"123-456-7890
-",rachel@nutrifresh.com,NutriFresh Supplies
,,,
,,,
,,,
Rohan Kumar,,rohan123@gmail.com,
,,,
abc,"098765432
-",abc@me.com,mnbvcxz
Rachel,"123-456-7890
-",rachel@nutrifresh.com,NutriFresh Supplies
Rachel,"123-456-7890
-",rachel@nutrifresh.com,NutriFresh Supplies
Meeru,"555-123-4567
-",alex@connectworld.org,ConnectWorld
Varun,"1234567890
-",xyz@gmail.com,XYZ
,,,
,,,
,,,
